------------train
------------train
1
0
it: 100/80000, lr: 0.000020, loss: 9.6430, eta: 14:59:38, time: 66.8809
it: 200/80000, lr: 0.000040, loss: 9.0535, eta: 13:46:30, time: 56.7840
it: 300/80000, lr: 0.000079, loss: 8.0711, eta: 13:48:23, time: 62.7978
it: 400/80000, lr: 0.000157, loss: 6.5945, eta: 14:01:43, time: 66.6846
it: 500/80000, lr: 0.000314, loss: 5.1640, eta: 13:42:10, time: 56.4806
it: 600/80000, lr: 0.000627, loss: 4.4555, eta: 13:33:31, time: 58.6061
it: 700/80000, lr: 0.001250, loss: 4.5329, eta: 13:34:23, time: 62.4752
it: 800/80000, lr: 0.002495, loss: 4.2019, eta: 13:37:29, time: 64.1134
it: 900/80000, lr: 0.004977, loss: 4.1922, eta: 13:27:20, time: 55.7173
it: 1000/80000, lr: 0.009931, loss: 3.8750, eta: 13:22:14, time: 58.1432
==> warmup done, start to implement poly lr strategy
==> warmup done, start to implement poly lr strategy
it: 1100/80000, lr: 0.009989, loss: 4.1068, eta: 13:23:11, time: 62.5685
it: 1200/80000, lr: 0.009977, loss: 4.0138, eta: 13:25:26, time: 64.0610
it: 1300/80000, lr: 0.009966, loss: 3.7763, eta: 13:19:04, time: 56.0354
it: 1400/80000, lr: 0.009955, loss: 3.8041, eta: 13:18:47, time: 61.7055
it: 1500/80000, lr: 0.009943, loss: 3.7328, eta: 13:23:05, time: 67.0592
it: 1600/80000, lr: 0.009932, loss: 3.8040, eta: 13:18:17, time: 56.7539
it: 1700/80000, lr: 0.009920, loss: 3.7412, eta: 13:13:19, time: 55.9547
it: 1800/80000, lr: 0.009909, loss: 3.7235, eta: 13:13:02, time: 61.8165
it: 1900/80000, lr: 0.009898, loss: 3.5619, eta: 13:14:36, time: 64.5949
it: 2000/80000, lr: 0.009886, loss: 3.5388, eta: 13:09:44, time: 55.1319
it: 2100/80000, lr: 0.009875, loss: 3.8625, eta: 13:06:40, time: 57.4389
it: 2200/80000, lr: 0.009863, loss: 3.5829, eta: 13:05:49, time: 60.8624
it: 2300/80000, lr: 0.009852, loss: 3.6006, eta: 13:05:56, time: 62.5759
it: 2400/80000, lr: 0.009840, loss: 3.5741, eta: 13:01:54, time: 55.1000
it: 2500/80000, lr: 0.009829, loss: 3.6705, eta: 13:00:35, time: 59.8419
it: 2600/80000, lr: 0.009818, loss: 3.5607, eta: 12:59:20, time: 59.9728
it: 2700/80000, lr: 0.009806, loss: 3.5826, eta: 12:59:08, time: 62.1006
it: 2800/80000, lr: 0.009795, loss: 3.5366, eta: 12:56:34, time: 57.0654
it: 2900/80000, lr: 0.009783, loss: 3.5137, eta: 12:56:38, time: 62.7860
it: 3000/80000, lr: 0.009772, loss: 3.5081, eta: 12:56:51, time: 63.2881
it: 3100/80000, lr: 0.009761, loss: 3.4448, eta: 12:53:31, time: 54.9339
it: 3200/80000, lr: 0.009749, loss: 3.4660, eta: 12:51:53, time: 58.7795
it: 3300/80000, lr: 0.009738, loss: 3.5212, eta: 12:51:28, time: 61.8106
it: 3400/80000, lr: 0.009726, loss: 3.4112, eta: 12:50:25, time: 60.2253
it: 3500/80000, lr: 0.009715, loss: 3.4704, eta: 12:47:35, time: 55.3426
it: 3600/80000, lr: 0.009703, loss: 3.3694, eta: 12:46:50, time: 60.9151
it: 3700/80000, lr: 0.009692, loss: 3.4022, eta: 12:46:16, time: 61.5169
it: 3800/80000, lr: 0.009681, loss: 3.5437, eta: 12:44:59, time: 59.4043
it: 3900/80000, lr: 0.009669, loss: 3.4217, eta: 12:42:55, time: 56.9807
it: 4000/80000, lr: 0.009658, loss: 3.4185, eta: 12:42:25, time: 61.7298
it: 4100/80000, lr: 0.009646, loss: 3.5771, eta: 12:42:14, time: 62.8461
it: 4200/80000, lr: 0.009635, loss: 3.4600, eta: 12:39:45, time: 55.3263
it: 4300/80000, lr: 0.009623, loss: 3.5009, eta: 12:37:53, time: 57.2083
it: 4400/80000, lr: 0.009612, loss: 3.4271, eta: 12:37:31, time: 62.2694
it: 4500/80000, lr: 0.009600, loss: 3.3584, eta: 12:37:02, time: 62.0042
it: 4600/80000, lr: 0.009589, loss: 3.4641, eta: 12:35:23, time: 57.7479
it: 4700/80000, lr: 0.009578, loss: 3.3099, eta: 12:35:02, time: 62.5989
it: 4800/80000, lr: 0.009566, loss: 3.4202, eta: 12:32:43, time: 55.0748
it: 4900/80000, lr: 0.009555, loss: 3.2913, eta: 12:31:35, time: 59.5629
it: 5000/80000, lr: 0.009543, loss: 3.5560, eta: 12:29:18, time: 54.9353
