------------train
------------train
1
0
it: 100/80000, lr: 0.000020, loss: 9.4996, eta: 1 day, 4:59:53, time: 129.3467
it: 200/80000, lr: 0.000040, loss: 8.7519, eta: 1 day, 4:25:34, time: 125.8441
it: 300/80000, lr: 0.000079, loss: 7.6742, eta: 1 day, 3:34:30, time: 117.2241
it: 400/80000, lr: 0.000157, loss: 6.2391, eta: 1 day, 3:29:00, time: 123.5225
it: 500/80000, lr: 0.000314, loss: 4.7420, eta: 1 day, 3:02:52, time: 115.2350
it: 600/80000, lr: 0.000627, loss: 4.3155, eta: 1 day, 2:45:05, time: 115.3511
it: 700/80000, lr: 0.001250, loss: 4.4847, eta: 1 day, 2:30:17, time: 114.5335
it: 800/80000, lr: 0.002495, loss: 4.2218, eta: 1 day, 2:29:02, time: 120.7791
it: 900/80000, lr: 0.004977, loss: 3.9261, eta: 1 day, 2:18:08, time: 114.3198
it: 1000/80000, lr: 0.009931, loss: 4.0477, eta: 1 day, 2:08:18, time: 113.7632
==> warmup done, start to implement poly lr strategy
==> warmup done, start to implement poly lr strategy
it: 1100/80000, lr: 0.009989, loss: 4.0768, eta: 1 day, 1:59:08, time: 113.0980
it: 1200/80000, lr: 0.009977, loss: 3.8962, eta: 1 day, 1:58:52, time: 120.1260
it: 1300/80000, lr: 0.009966, loss: 3.7395, eta: 1 day, 1:54:16, time: 116.1046
it: 1400/80000, lr: 0.009955, loss: 3.7814, eta: 1 day, 1:51:39, time: 117.8053
it: 1500/80000, lr: 0.009943, loss: 3.7051, eta: 1 day, 1:57:49, time: 127.7693
it: 1600/80000, lr: 0.009932, loss: 3.8644, eta: 1 day, 1:53:19, time: 116.0006
it: 1700/80000, lr: 0.009920, loss: 3.6207, eta: 1 day, 1:52:32, time: 120.4382
it: 1800/80000, lr: 0.009909, loss: 3.6393, eta: 1 day, 1:49:56, time: 118.1166
it: 1900/80000, lr: 0.009898, loss: 3.5349, eta: 1 day, 2:01:48, time: 139.1058
it: 2000/80000, lr: 0.009886, loss: 3.5959, eta: 1 day, 2:06:04, time: 129.6168
it: 2100/80000, lr: 0.009875, loss: 3.7300, eta: 1 day, 2:15:32, time: 139.0179
it: 2200/80000, lr: 0.009863, loss: 3.5434, eta: 1 day, 2:19:15, time: 131.0876
it: 2300/80000, lr: 0.009852, loss: 3.6450, eta: 1 day, 2:24:23, time: 134.5054
it: 2400/80000, lr: 0.009840, loss: 3.6227, eta: 1 day, 2:38:27, time: 152.2391
it: 2500/80000, lr: 0.009829, loss: 3.5650, eta: 1 day, 2:30:29, time: 112.1363
it: 2600/80000, lr: 0.009818, loss: 3.5191, eta: 1 day, 2:24:54, time: 116.0331
it: 2700/80000, lr: 0.009806, loss: 3.5878, eta: 1 day, 2:25:05, time: 127.5278
it: 2800/80000, lr: 0.009795, loss: 3.5603, eta: 1 day, 2:17:06, time: 110.1243
it: 2900/80000, lr: 0.009783, loss: 3.5817, eta: 1 day, 2:09:39, time: 110.3885
it: 3000/80000, lr: 0.009772, loss: 3.5175, eta: 1 day, 2:06:25, time: 119.3421
it: 3100/80000, lr: 0.009761, loss: 3.5027, eta: 1 day, 2:06:57, time: 128.2551
it: 3200/80000, lr: 0.009749, loss: 3.5024, eta: 1 day, 2:01:20, time: 113.3284
it: 3300/80000, lr: 0.009738, loss: 3.6326, eta: 1 day, 1:54:45, time: 110.2306
it: 3400/80000, lr: 0.009726, loss: 3.5451, eta: 1 day, 1:52:28, time: 120.9388
it: 3500/80000, lr: 0.009715, loss: 3.4149, eta: 1 day, 1:46:48, time: 111.6292
it: 3600/80000, lr: 0.009703, loss: 3.4170, eta: 1 day, 1:41:33, time: 112.1779
it: 3700/80000, lr: 0.009692, loss: 3.4699, eta: 1 day, 1:36:20, time: 111.7795
it: 3800/80000, lr: 0.009681, loss: 3.4214, eta: 1 day, 1:34:02, time: 119.9149
it: 3900/80000, lr: 0.009669, loss: 3.5088, eta: 1 day, 1:29:02, time: 111.6386
it: 4000/80000, lr: 0.009658, loss: 3.4283, eta: 1 day, 1:24:12, time: 111.6466
it: 4100/80000, lr: 0.009646, loss: 3.4370, eta: 1 day, 1:22:26, time: 121.0584
it: 4200/80000, lr: 0.009635, loss: 3.4143, eta: 1 day, 1:17:32, time: 110.7339
it: 4300/80000, lr: 0.009623, loss: 3.5063, eta: 1 day, 1:13:05, time: 111.8183
it: 4400/80000, lr: 0.009612, loss: 3.6223, eta: 1 day, 1:08:38, time: 111.3539
it: 4500/80000, lr: 0.009600, loss: 3.3703, eta: 1 day, 1:06:35, time: 119.5503
it: 4600/80000, lr: 0.009589, loss: 3.4571, eta: 1 day, 1:02:32, time: 112.1650
it: 4700/80000, lr: 0.009578, loss: 3.4237, eta: 1 day, 0:58:28, time: 111.8209
it: 4800/80000, lr: 0.009566, loss: 3.4928, eta: 1 day, 0:54:31, time: 111.9038
it: 4900/80000, lr: 0.009555, loss: 3.4187, eta: 1 day, 0:52:26, time: 118.8634
it: 5000/80000, lr: 0.009543, loss: 3.5455, eta: 1 day, 0:48:36, time: 111.8836
it: 5100/80000, lr: 0.009532, loss: 3.4451, eta: 1 day, 0:44:55, time: 112.1510
it: 5200/80000, lr: 0.009520, loss: 3.4917, eta: 1 day, 0:41:10, time: 111.5599
it: 5300/80000, lr: 0.009509, loss: 3.4671, eta: 1 day, 0:39:33, time: 120.3518
it: 5400/80000, lr: 0.009497, loss: 3.5239, eta: 1 day, 0:35:58, time: 111.8424
it: 5500/80000, lr: 0.009486, loss: 3.3371, eta: 1 day, 0:32:26, time: 111.8259
it: 5600/80000, lr: 0.009475, loss: 3.4394, eta: 1 day, 0:30:46, time: 119.9932
it: 5700/80000, lr: 0.009463, loss: 3.4239, eta: 1 day, 0:27:16, time: 111.6239
it: 5800/80000, lr: 0.009452, loss: 3.4112, eta: 1 day, 0:23:51, time: 111.7450
it: 5900/80000, lr: 0.009440, loss: 3.4399, eta: 1 day, 0:20:33, time: 112.0419
it: 6000/80000, lr: 0.009429, loss: 3.2569, eta: 1 day, 0:18:53, time: 119.6805
it: 6100/80000, lr: 0.009417, loss: 3.3509, eta: 1 day, 0:15:36, time: 111.7975
it: 6200/80000, lr: 0.009406, loss: 3.3849, eta: 1 day, 0:12:19, time: 111.5970
it: 6300/80000, lr: 0.009394, loss: 3.3644, eta: 1 day, 0:09:06, time: 111.6231
it: 6400/80000, lr: 0.009383, loss: 3.4476, eta: 1 day, 0:07:26, time: 119.5951
it: 6500/80000, lr: 0.009371, loss: 3.3515, eta: 1 day, 0:04:18, time: 111.7973
it: 6600/80000, lr: 0.009360, loss: 3.3880, eta: 1 day, 0:01:13, time: 111.8066
it: 6700/80000, lr: 0.009348, loss: 3.3500, eta: 23:59:48, time: 120.8565
it: 6800/80000, lr: 0.009337, loss: 3.4477, eta: 23:56:33, time: 110.7201
it: 6900/80000, lr: 0.009325, loss: 3.4638, eta: 23:53:29, time: 111.4206
it: 7000/80000, lr: 0.009314, loss: 3.4111, eta: 23:50:27, time: 111.5279
it: 7100/80000, lr: 0.009302, loss: 3.4610, eta: 23:49:08, time: 121.3528
it: 7200/80000, lr: 0.009291, loss: 3.4706, eta: 23:46:05, time: 111.0883
it: 7300/80000, lr: 0.009279, loss: 3.2839, eta: 23:43:03, time: 111.1213
it: 7400/80000, lr: 0.009268, loss: 3.4619, eta: 23:40:09, time: 111.6516
it: 7500/80000, lr: 0.009256, loss: 3.4633, eta: 23:38:35, time: 119.7581
it: 7600/80000, lr: 0.009245, loss: 3.3925, eta: 23:35:37, time: 111.1182
it: 7700/80000, lr: 0.009233, loss: 3.4122, eta: 23:32:47, time: 111.6073
it: 7800/80000, lr: 0.009222, loss: 3.3721, eta: 23:29:56, time: 111.4603
it: 7900/80000, lr: 0.009210, loss: 3.4427, eta: 23:28:19, time: 119.4433
it: 8000/80000, lr: 0.009199, loss: 3.3958, eta: 23:25:32, time: 111.6622
it: 8100/80000, lr: 0.009187, loss: 3.3075, eta: 23:22:44, time: 111.3605
it: 8200/80000, lr: 0.009176, loss: 3.4177, eta: 23:21:15, time: 120.2051
it: 8300/80000, lr: 0.009164, loss: 3.3660, eta: 23:18:26, time: 111.1898
it: 8400/80000, lr: 0.009153, loss: 3.4322, eta: 23:15:43, time: 111.5240
it: 8500/80000, lr: 0.009141, loss: 3.3567, eta: 23:12:58, time: 111.3091
it: 8600/80000, lr: 0.009130, loss: 3.4158, eta: 23:11:19, time: 119.0023
it: 8700/80000, lr: 0.009118, loss: 3.3194, eta: 23:08:38, time: 111.5900
it: 8800/80000, lr: 0.009107, loss: 3.3709, eta: 23:06:06, time: 112.4759
it: 8900/80000, lr: 0.009095, loss: 3.3671, eta: 23:03:35, time: 112.5469
it: 9000/80000, lr: 0.009084, loss: 3.4178, eta: 23:02:05, time: 120.1673
it: 9100/80000, lr: 0.009072, loss: 3.3399, eta: 22:59:34, time: 112.3998
it: 9200/80000, lr: 0.009061, loss: 3.3353, eta: 22:57:11, time: 113.2721
it: 9300/80000, lr: 0.009049, loss: 3.3605, eta: 22:54:43, time: 112.5987
it: 9400/80000, lr: 0.009038, loss: 3.3199, eta: 22:53:37, time: 123.4762
it: 9500/80000, lr: 0.009026, loss: 3.3908, eta: 22:51:10, time: 112.7024
it: 9600/80000, lr: 0.009015, loss: 3.3747, eta: 22:48:46, time: 112.9291
it: 9700/80000, lr: 0.009003, loss: 3.3196, eta: 22:47:14, time: 120.0137
it: 9800/80000, lr: 0.008992, loss: 3.3461, eta: 22:44:51, time: 113.0170
it: 9900/80000, lr: 0.008980, loss: 3.3809, eta: 22:42:30, time: 113.2860
it: 10000/80000, lr: 0.008969, loss: 3.3296, eta: 22:40:07, time: 112.8723
it: 10100/80000, lr: 0.008957, loss: 3.4142, eta: 22:38:42, time: 121.0289
it: 10200/80000, lr: 0.008946, loss: 3.2424, eta: 22:36:19, time: 112.7533
it: 10300/80000, lr: 0.008934, loss: 3.3255, eta: 22:33:59, time: 113.1191
it: 10400/80000, lr: 0.008923, loss: 3.2822, eta: 22:31:38, time: 113.0039
it: 10500/80000, lr: 0.008911, loss: 3.3042, eta: 22:29:51, time: 117.9875
it: 10600/80000, lr: 0.008899, loss: 3.2593, eta: 22:27:30, time: 112.8114
it: 10700/80000, lr: 0.008888, loss: 3.3364, eta: 22:25:09, time: 112.5674
it: 10800/80000, lr: 0.008876, loss: 3.3593, eta: 22:23:27, time: 118.8231
it: 10900/80000, lr: 0.008865, loss: 3.4233, eta: 22:20:58, time: 111.3134
it: 11000/80000, lr: 0.008853, loss: 3.3866, eta: 22:18:30, time: 111.4075
it: 11100/80000, lr: 0.008842, loss: 3.3527, eta: 22:16:00, time: 110.9720
it: 11200/80000, lr: 0.008830, loss: 3.2553, eta: 22:14:08, time: 116.9875
it: 11300/80000, lr: 0.008819, loss: 3.3306, eta: 22:11:39, time: 111.0470
it: 11400/80000, lr: 0.008807, loss: 3.2909, eta: 22:09:12, time: 111.1319
it: 11500/80000, lr: 0.008796, loss: 3.3364, eta: 22:06:44, time: 111.0766
it: 11600/80000, lr: 0.008784, loss: 3.4173, eta: 22:04:56, time: 117.5991
it: 11700/80000, lr: 0.008772, loss: 3.2561, eta: 22:02:30, time: 111.0147
it: 11800/80000, lr: 0.008761, loss: 3.3407, eta: 22:00:02, time: 110.7721
it: 11900/80000, lr: 0.008749, loss: 3.4439, eta: 21:57:35, time: 110.6192
it: 12000/80000, lr: 0.008738, loss: 3.2664, eta: 21:55:48, time: 117.7073
it: 12100/80000, lr: 0.008726, loss: 3.2087, eta: 21:53:23, time: 111.0406
it: 12200/80000, lr: 0.008715, loss: 3.3004, eta: 21:51:00, time: 111.1010
it: 12300/80000, lr: 0.008703, loss: 3.3230, eta: 21:49:09, time: 116.9181
it: 12400/80000, lr: 0.008691, loss: 3.3376, eta: 21:46:44, time: 110.7879
it: 12500/80000, lr: 0.008680, loss: 3.3084, eta: 21:44:21, time: 110.9672
it: 12600/80000, lr: 0.008668, loss: 3.3483, eta: 21:41:58, time: 110.7933
it: 12700/80000, lr: 0.008657, loss: 3.3854, eta: 21:40:19, time: 119.1428
it: 12800/80000, lr: 0.008645, loss: 3.2453, eta: 21:38:00, time: 111.5022
it: 12900/80000, lr: 0.008634, loss: 3.3247, eta: 21:35:37, time: 110.6452
it: 13000/80000, lr: 0.008622, loss: 3.3545, eta: 21:33:15, time: 110.9287
it: 13100/80000, lr: 0.008610, loss: 3.2342, eta: 21:31:44, time: 120.5223
it: 13200/80000, lr: 0.008599, loss: 3.3153, eta: 21:29:22, time: 110.7585
it: 13300/80000, lr: 0.008587, loss: 3.2644, eta: 21:27:00, time: 110.5514
it: 13400/80000, lr: 0.008576, loss: 3.3990, eta: 21:25:17, time: 118.3094
it: 13500/80000, lr: 0.008564, loss: 3.2726, eta: 21:22:54, time: 110.4245
it: 13600/80000, lr: 0.008552, loss: 3.2280, eta: 21:20:34, time: 110.7275
it: 13700/80000, lr: 0.008541, loss: 3.2182, eta: 21:18:15, time: 110.8854
it: 13800/80000, lr: 0.008529, loss: 3.3095, eta: 21:16:28, time: 117.4919
it: 13900/80000, lr: 0.008518, loss: 3.2447, eta: 21:14:06, time: 110.0501
it: 14000/80000, lr: 0.008506, loss: 3.2719, eta: 21:11:48, time: 111.0560
it: 14100/80000, lr: 0.008495, loss: 3.4136, eta: 21:09:30, time: 110.8549
it: 14200/80000, lr: 0.008483, loss: 3.3518, eta: 21:07:53, time: 119.4827
